,ethereum_address,ether_balance,unique_tokens,unique_transfers
148,0xf4177a0d85d48b0e264211ce2aa2efd3f1b47f08,1000.419855,44,2
149,0x81bc4a018472cf6273c18941f6b34e247f313cda,16880.198505887,64,2
150,0x3dba737ccc50a32a1764b493285dd51c8af6c278,6382.785104134722,89,3
151,0xff64a8933e05c9d585ab72db95d207ebee9be5a8,60106.380286981745,73,2
152,0x4ea79a8ff56d39f5cb045642d6ce9cb0653e5e47,1063.5956263147398,48,2
153,0xbd6ce13c269890c4d1137b7beb0c7b1ff7f59556,10000.510669,39,1
154,0xa2f3fb060cc8661a245c5f00b3cb9932b0917dc4,10000.0,19,1
155,0x64a9f91160c8fe3265e8ce4d5807d5780c323dbf,1100.743758493,8,2
156,0x5c58dc95b1bc11140e36b102e1d9c56fbf368ec9,1005.9900000077778,39,2
157,0xcc201d31141106bb4690c40b386d970f2572843c,2100.9394050260003,51,2
158,0x21dbdb817a0d8404c6bdd61504374e9c43c9210e,9999.901343091,57,2
159,0xe8c2e764516b633368cda857b285b42fefdf3242,10267.254603122105,56,3
160,0x2a4b9ad9cf6ccf642abd502e025e98eb125c0149,2297.773584291,29,2
161,0xa321091d3018064279db399d2b2a88a6f440ae24,1510.4937941100002,39,2
162,0x37f6ebc87b0fa975c5b250cf4294c7e7afff2f2a,3877.6962346,52,4
163,0xe66de50cfc936754db0ef925dfec508bb2a7c728,9604.348817021724,18,2
164,0x70e81cbff30905fc02cfc82d4494b5e82d8e2c95,4300.023925707777,22,2
165,0x11a05633e78aabf81cbc84d58e0f8d07fd25c992,44814.81104558768,91,3
166,0xaa11f3574d34694ff9e3adfb63ace3ff1c9a0e68,1683.902340758814,37,2
167,0xccbdc27a48435344d913a55ef282e674c276f82c,4999.999349,53,2
168,0x648d174c33bf3161356b88d66d1496b3737ac1f9,2487.4332187946056,25,5
169,0xd12e6d27b5fb3bee945f905dcdd38474713f3928,1157.9868132251538,51,2
170,0xc9eecea26767eb56d4e92df8b5ba1b61151e8265,3166.919392108,48,2
171,0xc5aad0a40075f0c0e036c12180ba86e169979aae,1500.0,40,2
172,0x68966e1c514ad0136940c9e63941b6d1e75cf3bd,1111.7704949773372,72,18
173,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7032412.050365961,116,51
