,ethereum_address,ether_balance,unique_tokens,unique_transfers,mined_blocks
148,0xd9e11207ac0e44e860557a56556d5d32d1e4abda,15077.592773999999,58,2,0
149,0x72e5263ff33d2494692d7f94a758aa9f82062f73,262.18919863526185,196,1445,0
150,0x2fb3fa27191a125474929d5fe65ef4aa24249012,114.97590731803473,168,21,0
151,0x3bf86ed8a3153ec933786a02ac090301855e576b,12099.994704175,153,3,0
152,0x8a3b85128d75b51383855e900c3a8182adc84deb,1000.58910022,61,7,0
153,0x526c7665c5dd9cd7102c6d42d407a0d9dc1e431d,209.14335657623886,79,161,0
154,0x9d3937226a367bedce0916f9cee4490d22214c7c,50001.979225514544,115,5,0
155,0x812d2e05afb6e15a47355ac616fc69098b22c794,214.25240356316473,53,15,0
156,0x529ac45c2d6b514ee0dd49c95506da53df598246,6002.154967,52,2,0
157,0xf483f4f518c2dc9aa5cf1017ba119afdc355cbac,1446.790673187777,50,4,0
158,0x3b06bc7b205f1a827f6504244db7a8f5b0bf7dfa,257.21071813175746,48,17,0
159,0x6a9e7892e4002493b1c28c004c98fc8aeccd580b,21000.010000000002,78,2,0
160,0xfdb16996831753d5331ff813c29a93c76834a0ad,323.7045717944492,345,306488,0
161,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,264.33704412000554,78,15797,0
162,0x34864f95cbab6a1f8e9b47aa1d4730bb588caf2d,133.98232352446692,131,8,0
163,0xca559d25cc85e8dcc95c9aae4d9d8d21d6cda4ac,2498.6111663420666,66,9,0
164,0x1db475c127ab3930121aff7d49c9a97c4a8a812b,104.58057808441572,154,43,0
165,0xfbf6333e48d774e2343ad25681015e4d31892156,10307.300349016145,79,3,0
166,0x0ddf0be61808522724a86cdc2468268339c565f2,505.34592021000003,51,4,0
167,0xc33ce60280a97bc50955666246f57b1a56e804c1,955.8360674925842,65,4,0
168,0x9da3302240af0511c6fd1857e6ddb7394f77ab6b,8828.972188112,72,9,0
169,0xd8a83b72377476d0a66683cde20a8aad0b628713,2574.1245526087223,56,3,0
170,0xcfbe3d32e3d8b94001b90a39be9e49cbdffa83f8,12229.811559,55,2,0
171,0xc41e66aae07316211752bcc5e78b1584dfcfc1c4,748.4857388088001,49,9,0
172,0x4e3df0dd86d7edd13e05d74be4a2d9a99892905b,205.96428524972805,66,5,0
173,0x82498dabfd79d87150d584255262576929c313d3,1799.9513493959998,56,12,0
174,0x94a872d1667942a4e4382343300f56274083be3e,158.50808629232648,46,46,0
