ethereum_address,ether_balance,unique_tokens,unique_transfers,mined_blocks,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,Entity
0xa12431d0b9db640034b0cdfceef9cce161e62be4,224.34637280684072,773,10548,0,4052,161166,1490282.98549,367.789483092,765975390.7873013,189036.3748241121,1509357.219587492,9.365233483,768745978.6255586,4769.901707714721,12,337.6666666666667,13430.5,124190.248790833,63831282.56560844,125779.768298958,64062164.885463215,0,0,171.2701889368039,4489.169533600829,6807.226117008146,13653.379839718216,512,Exchange
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,1289.8250039708591,370,6005,0,143270,958,659380.26214297,4.602361012,393742687.89445984,2748.2563543970678,681446.291976369,711.321807909,409510274.20849824,427463.7517834005,14,10233.57142857143,68.42857142857143,47098.590153069,28124477.706747133,48674.735141169,29250733.87203559,0,0,35003.88087774295,63367.6077886163,235.39570318770973,1407.5951139867661,253,Exchange
0xbdc21fae769d7f5469993d8e83b465495d88cfc0,1750.9812680053162,71,126,0,40,40,54136.06176953,1353.401544238,14367928.775507389,359198.2193876846,72501.83113685,1812.545778421,4444790.921101884,111119.77302754708,28,1.4285714285714286,1.4285714285714286,1933.430777483,513140.3134109782,2589.35111203,158742.53289649586,1,37,1622114.3076923077,4158595.4453142122,1790657.153846154,3798159.9183857883,42,
0x934176c1aca721cfa26521451279f5d5a44c7d96,172.99932858060544,100,11,0,19,57,8142.86251713,428.571711428,5630260.926422389,296329.52244328364,10611.220160448,186.161757201,5523462.912270916,96902.85811001607,21,0.9047619047619048,2.7142857142857144,387.755357959,268107.6631629709,505.296198117,263022.04344147217,0,0,903363.3749999999,2682560.652098449,2227735.222222222,2604048.8218035423,60,
0x742d35cc6634c0532925a3b844bc454e4438f44e,395739.846145765,299,921,0,97,2202,2310000.55,23814.438659794,996953687.8805002,10277873.070932996,3971213.6203725,1803.457593266,1717737650.352191,780080.6768175258,8,12.125,275.25,288750.06875,124619210.98506252,496401.702546563,214717206.29402387,0,0,7612.590186278963,44957.16721586907,177563.1041666666,272623.3755777365,108,Exchange
0x0a98fb70939162725ae66e626fe4b52cff62c2e5,312.7141186212097,60,294200,0,22598,20667,672396.14670267,29.754675047,204329812.43321437,9041.942314948814,675186.913169883,32.669807576,203581915.85636768,9850.57898371146,19,1189.3684210526317,1087.7368421052631,35389.270879088,10754200.654379703,35536.153324731,10714837.67665093,0,0,1614.9647246685379,76437.53625244682,1322.7325751205922,85895.9033832275,26,Exchange
0xd551234ae421e3bcba99a0da6d736074f22192ff,15332.142861312099,543,105056,0,659575,758,6328579.94042313,9.594936043,3699694295.282259,5609.209408000827,6432537.012736287,8486.196586723,3753460766.3519974,4951795.206269123,11,59961.36363636364,68.9090909090909,575325.449129375,336335845.0256599,584776.092066935,341223706.03199977,0,0,35160.766182298554,45676.78936839564,40.40841058016233,761.3328085499019,290,Exchange
0x3caf983accccc2551195e0809b7824da6fde4ec8,100.33595838704096,54,9,0,123,28,3213.85168227,26.128875466,1830822.128908851,14884.732755356506,1001.850314213,35.780368365,569524.1516921688,20340.14827472031,19,6.473684210526316,1.4736842105263157,169.150088541,96359.05941625532,52.728963906,29974.95535221941,54,555,1721283.7037037036,2225031.9651114233,339058.319672131,546656.6438104485,39,
0x229d6e6ee63fd9126ae44ad990f6c18cfb7ca93a,193.69634199410407,66,10,0,35,48,6975.06,199.287428571,4419344.446899999,126266.98419714285,7162.17082,149.211892083,4352835.8026832,90684.07922256665,17,2.0588235294117645,2.823529411764706,410.297647059,259961.4380529411,421.304165882,256049.16486371763,0,0,787449.5744680851,1616620.067695719,1052328.911764706,1645542.1956537953,56,
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,274933.94400869816,951,422637,0,1539893,4642263,34038552.260613723,22.104491845,20475488892.37466,13296.695869372184,34404104.995301309,7.41106331,20715014408.46399,4462.2664438590655,16,96243.3125,290141.4375,2127409.516288358,1279718055.7734163,2150256.562206332,1294688400.5289993,0,0,8.642772855129675,366.1064212139535,26.05377714800779,146.50321166525845,519,Exchange
0x60aed9990a5c2410c3ae34852acd31551f6ee4ab,525.0689785032746,57,12,0,10,13,13,1.3,4418.04,441.804,508.56576428,39.120443406,151555.55786863278,11658.119836048678,18,0.5555555555555556,0.7222222222222222,0.722222222,245.44666666666666,28.253653571,8419.753214924043,0,0,2587332.9166666674,4059697.9527055165,1958513.111111111,3394255.54575066,37,
0x8e24d24684595ad7bf09aaa854684e7fff8a82c9,100.096088014878,72,8,0,11,14,43.374,3.943090909,28614.5139,2601.319445454546,150.463640544,10.747402896,65173.19353589424,4655.228109706732,15,0.7333333333333333,0.9333333333333333,2.8916,1907.63426,10.03090937,4344.879569059616,0,0,2428317.846153846,3926128.044174095,3127690.5,3518513.0235427655,40,
0xbf79e9e31b530441dc3c9daeb985a0f2f64392b1,291.5525906516644,126,4781,0,18271,38477,10570.85070442,0.578558957,4297955.076404055,235.23370786514434,10854.329932168,0.282099174,4373565.861629397,113.66701826102368,19,961.6315789473684,2025.1052631578948,556.360563391,226208.16191600286,571.280522746,230187.67692786298,0,0,1229.8136500675746,4215.258034366691,2582.9038861521626,6010.461094779277,47,
0xdb46caac7b3264affd23da151d9c8b8aa73357c5,500.020085576,54,5,0,6,3,1270.8041,211.800683333,1264976.277913,210829.37965216668,2440.96,813.653333333,2205398.2364,735132.7454666666,12,0.5,0.25,105.900341667,105414.68982608333,203.413333333,183783.18636666666,0,0,1266735.0,1410645.5015552277,2799975.4000000004,3783461.9381124084,30,
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,497.5415424456598,97,3,0,289876,1928329,8693112.119352763,29.989071601,1980320048.875299,6831.610926310918,6935185.770607893,3.596474342,2020337639.064516,1047.7141810680205,26,11149.076923076924,74166.5,334350.466128952,76166155.72597304,266737.91425415,77705293.81017369,1,3084,33.78711712945101,1540.6204301243692,224.74211297973272,763.202210743023,55,Exchange
0x0f10926a83c0a3f2b094b4e9382138710278e059,235.71897801076088,113,1878,0,5994,4053,33390.456704552,5.570646764,14816754.127222704,2471.9309521559717,34971.20417593,8.628473767,15393134.312024333,3797.960600055352,9,666.0,450.3333333333333,3710.05074495,1646306.014135856,3885.689352881,1710348.2568915924,0,0,5366.734205330702,13807.873402017292,3624.540630735857,9304.037463052153,65,
0xeac181c62ac45ba08116aee5e57e0fcf6cd613a3,841.4177109539232,73,31,0,41,111,21295.411422136,519.400278589,14531896.967394382,354436.5113998628,20254.01820734,182.468632499,5259085.568898573,47379.14926935647,19,2.1578947368421053,5.842105263157895,1120.811127481,764836.6824944412,1066.000958281,276793.9773104512,0,0,408384.20909090905,1964754.29301087,729915.225,1689908.6374170328,43,
0x187bcc3f1ea2ce8e10cf395611a58f2b23c13863,715.2967115237777,54,8,0,6,72,70.2,11.7,25187.872000000003,4197.978666666667,858.86,11.928611111,157625.19420000009,2189.2388083333335,20,0.3,3.6,3.51,1259.3936,42.943,7881.259710000004,0,0,321156.07042253524,926616.0211009787,2757997.2,2644705.007253493,27,
0x6c6565c09480851d1dbe1d338645c1e6618c12ae,200.18252601559536,48,8,0,13,8,1492.1,114.776923077,882154.904,67858.06953846154,1856.383530096,232.047941262,517691.1856178126,64711.39820222658,19,0.6842105263157895,0.42105263157894735,78.531578947,46429.20547368421,97.704396321,27246.904506200663,0,0,4356878.428571429,6304166.800826495,2483258.25,4816055.314186009,32,
0x0cde85455f818cb9aad901e5f2df9676cb3ddbf7,506.7945528545577,129,8,0,18,15,815.14197787,45.285665437,540301.8109336093,30016.76727408941,2495.327942876,166.355196192,1101956.9891208303,73463.79927472201,18,1.0,0.8333333333333334,45.285665437,30016.767274089405,138.62933016,61219.83272893502,0,0,3186190.3571428563,5549302.795437149,2056758.6470588236,3663473.0708846995,59,
0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,181.19101584222028,49,695,0,70,1954,2659.401,37.991442857,961290.5776700004,13732.722538142862,3566.943212462,1.82545712,1216961.4134002742,622.8052269192809,9,7.777777777777778,217.11111111111111,295.489,106810.0641855556,396.327023607,135217.9348222527,0,0,10579.928827444954,44180.03950155741,288352.7536231885,254753.35000813022,20,
